Partner Name,aus thousand
Afghanistan,123.971
United Arab Emirates,90355.0931
Argentina,1149.4271
American Samoa,3089.0372
Antarctica,84.0919
Austria,179.6749
Belgium,37597.037
Burkina Faso,0.8003
Bangladesh,16464.9947
Bulgaria,510.3951
Bahrain,1964.1476
"Bahamas, The",306.2733
Bosnia and Herzegovina,2.0989
Bermuda,198.5046
Brazil,12059.6754
Barbados,725.5701
Brunei,6136.9118
Bhutan,3.2918
Bunkers,14930.2911
Canada,263379.8323
Cocos (Keeling) Islands,733.0446
Switzerland,1277.1731
Chile,2549.1065
China,1120397.803
Cote d'Ivoire,57.1535
Cameroon,123.1707
Cook Islands,2374.9582
Colombia,496.639
Costa Rica,144.9298
Curaçao,138.6935
Christmas Island,2820.6649
Cayman Islands,256.7151
Cyprus,55.3415
Czech Republic,238.8669
Germany,30860.1267
Dominica,43.5031
Denmark,42611.7319
Dominican Republic,303.4647
Algeria,1472.2953
Ecuador,72.5857
"Egypt, Arab Rep.",364.5291
Spain,10995.7596
Estonia,3567.9035
Finland,11267.8918
Fiji,45079.389
Falkland Island,52.3064
France,15387.7456
"Micronesia, Fed. Sts.",2514.0594
United Kingdom,475842.7062
Georgia,67.6027
Ghana,616.1706
Greece,1044.7237
Grenada,127.1118
Guatemala,260.475
Guam,6497.0317
Guyana,88.033
"Hong Kong, China",316862.5072
Croatia,21.1098
Hungary,37.9765
Indonesia,114043.7466
India,21376.0432
Ireland,14691.5148
"Iran, Islamic Rep.",163.2461
Iraq,51.7175
Iceland,19.479
Israel,2725.5953
Italy,2661.6317
Jamaica,785.9097
Jordan,786.71
Japan,470369.4243
Kazakhstan,20.5813
Kenya,1586.9194
Cambodia,7671.5248
Kiribati,7685.9
"Korea, Rep.",291244.4361
Kuwait,4385.4175
Lao PDR,126.0548
Lebanon,446.3711
St. Lucia,43.0803
Sri Lanka,3019.2601
Lithuania,858.284
Latvia,6345.2012
Macao,30783.4036
Morocco,304.4311
Maldives,5191.1233
Mexico,2845.5648
Marshall Islands,1132.0017
North Macedonia,10.5549
Mali,15.402
Malta,194.186
Myanmar,2954.9341
Mongolia,694.0413
Northern Mariana Islands,1467.0556
Mozambique,2.3254
Mauritius,4923.7929
Malawi,215.477
Malaysia,215856.3573
New Caledonia,30552.7511
Norfolk Island,2982.7785
Nigeria,1145.4256
Nicaragua,3.5183
Niue,87.882
Netherlands,82343.8938
Norway,8880.2798
Nepal,740.2171
Nauru,10851.9774
New Zealand,1363089.79
"Other Asia, nes",170286.9431
Oman,478.5643
Pakistan,3449.1722
Panama,238.3686
Pitcairn,2.7784
Peru,410.5388
Philippines,185417.128
Palau,815.8832
Papua New Guinea,122883.4527
Poland,4056.7207
Portugal,55.0395
Paraguay,143.1027
French Polynesia,18296.0509
Qatar,6214.3144
Romania,547.6619
Russian Federation,270.4108
Rwanda,0.4077
Saudi Arabia,20395.6606
"Serbia, FR(Serbia/Montenegro)",4.832
Singapore,305733.324
Saint Helena,28.2219
Solomon Islands,6808.5145
Sierra Leone,803.3804
El Salvador,598.0204
Somalia,0.0302
Sudan,0.1963
Suriname,70.819
Slovenia,733.558
Sweden,27076.7915
Seychelles,358.0814
Turks and Caicos Isl.,12.1555
Chad,712.72
Thailand,210121.9209
East Timor,1872.0074
Tonga,2573.5383
Trinidad and Tobago,501.0482
Tunisia,26.8176
Turkey,1725.3109
Tuvalu,901.9381
Tanzania,371.7469
Uganda,264.7332
Ukraine,85.9341
Unspecified,28354.1156
Uruguay,1423.0693
United States,799571.0626
Vietnam,228419.2855
Vanuatu,15795.657
Wallis and Futura Isl.,2739.5628
Samoa,3156.1416
Yemen,658.8432
South Africa,16086.2716
"Congo, Dem. Rep.",505.7745
Zambia,203.7443
