Region code,Region label,gross value,businesses
101021007,Braidwood,90.42,502
101021008,Karabar,0,0
101021009,Queanbeyan,0.39,2
101021010,Queanbeyan - East,0,0
101021012,Queanbeyan West - Jerrabomberra,0,0
101021610,Googong,0.27,3
101021611,Queanbeyan Surrounds,61.52,368
101031013,Bombala,139.38,485
101031014,Cooma,16.84,89
101031015,Cooma Surrounds,179.07,678
101031016,Jindabyne - Berridale,74.49,390
101041017,Batemans Bay,0,0
101041018,Batemans Bay - South,0,0
101041019,Bega - Tathra,77.65,107
101041020,Bega-Eden Hinterland,227.02,667
101041021,Broulee - Tomakin,0.09,2
101041022,Deua - Wadbilliga,6.75,2
101041023,Eden,1.57,9
101041024,Eurobodalla Hinterland,53.33,153
101041025,Merimbula - Tura Beach,1.13,13
101041026,Moruya - Tuross Head,5.23,51
101041027,Narooma - Bermagui,11.21,53
101051539,Goulburn,9.59,43
101051540,Goulburn Surrounds,540.59,2537
101061541,Yass,16.67,85
101061542,Yass Surrounds,399.73,1885
101061543,Young,194.81,538
101061544,Young Surrounds,1443.76,3026
102011028,Avoca Beach - Copacabana,0,0
102011029,Box Head - MacMasters Beach,0.75,4
102011030,Calga - Kulnura,557.76,626
102011031,Erina - Green Point,3.62,7
102011032,Gosford - Springfield,0,0
102011033,Kariong,0,0
102011034,Kincumber - Picketts Valley,1.75,4
102011035,Narara,0,0
102011036,Niagara Park - Lisarow,0.12,5
102011037,Point Clare - Koolewong,0,0
102011038,Saratoga - Davistown,0,0
102011039,Terrigal - North Avoca,0,0
102011040,Umina - Booker Bay - Patonga,0,0
102011041,Wamberal - Forresters Beach,2.69,4
102011042,Woy Woy - Blackwall,0,0
102011043,Wyoming,0,0
102021044,Bateau Bay - Killarney Vale,0,0
102021045,Blue Haven - San Remo,0.72,4
102021046,Budgewoi - Buff Point - Halekulani,0,0
102021047,Chittaway Bay - Tumbi Umbi,0,0
102021048,Gorokan - Kanwal - Charmhaven,0.87,2
102021049,Jilliby - Yarramalong,26.18,68
102021050,Lake Munmorah - Mannering Park,25.65,18
102021051,Ourimbah - Fountaindale,7.17,19
102021052,Summerland Point - Gwandalan,0,0
102021053,The Entrance,0,0
102021054,Toukley - Norah Head,0,0
102021055,Tuggerah - Kangy Angy,9.58,20
102021056,Warnervale - Wadalba,0.4,4
102021057,Wyong,0,0
103011059,Bathurst - East,19.75,79
103011060,Bathurst Surrounds,187.52,1128
103011061,Oberon,120.17,664
103011612,Bathurst - South,16.63,51
103011613,Bathurst - West,17.45,51
103021062,Condobolin,1668.49,2920
103021063,Cowra,137.12,425
103021064,Cowra Surrounds,756.99,2249
103021065,Forbes,1072.14,2048
103021066,Grenfell,664.31,1645
103021067,Parkes (NSW),91.59,242
103021068,Parkes Surrounds,686.83,1849
103021069,West Wyalong,1818.77,2370
103031070,Lithgow,1.63,12
103031071,Lithgow Surrounds,94.3,352
103031072,Mudgee,12.76,159
103031073,Mudgee Surrounds - East,62.24,396
103031074,Mudgee Surrounds - West,320.57,1872
103031075,Wollangambe - Wollemi,0,0
103041076,Blayney,209.48,1309
103041077,Orange,17.39,88
103041078,Orange - North,11.81,26
103041079,Orange Surrounds,705,2763
104011080,Grafton,11.42,97
104011081,Grafton Surrounds,298.68,1089
104011082,Maclean - Yamba - Iluka,45.76,300
104021083,Bellingen,90.33,81
104021084,Coffs Harbour - North,51.65,124
104021085,Coffs Harbour - South,14.55,28
104021086,Coramba - Nana Glen - Bucca,75.42,175
104021087,Dorrigo,118.23,438
104021088,Korora - Emerald Beach,217.55,65
104021089,Sawtell - Boambee,73.09,122
104021090,Urunga,8.22,34
104021091,Woolgoolga - Arrawarra,583.81,452
105011092,Bourke - Brewarrina,357.7,447
105011093,Cobar,177.33,419
105011094,Coonamble,1229.9,1587
105011095,Nyngan - Warren,1304.75,1402
105011096,Walgett - Lightning Ridge,2182.93,1511
105021097,Broken Hill,12.18,37
105021098,Far West,412.16,608
105031099,Coonabarabran,541.39,2158
105031100,Dubbo - East,4.97,59
105031101,Dubbo - South,14.48,94
105031102,Dubbo - West,10.8,74
105031103,Dubbo Surrounds,319.58,1260
105031104,Gilgandra,741.42,1984
105031105,Narromine,1392.67,2026
105031106,Wellington,370.76,1501
106011107,Branxton - Greta - Pokolbin,82.89,399
106011108,Cessnock,0.38,37
106011109,Cessnock Surrounds,7.37,138
106011110,Dungog,153.29,579
106011111,Kurri Kurri - Abermain,0,4
106011112,Singleton,31.1,160
106011113,Singleton Surrounds,80.4,443
106021114,Maitland,5.1,18
106021116,Maitland - North,73.62,134
106021614,East Maitland - Metford,0,0
106021615,Rutherford (North) - Aberglasslyn,16.61,56
106021616,Rutherford (South) - Telarah,1.12,9
106021617,Tenambit - East Maitland,2.86,35
106021618,Thornton - Millers Forest,6.53,22
106031119,Anna Bay,0.03,18
106031120,Lemon Tree Passage - Tanilba Bay,0,0
106031121,Nelson Bay Peninsula,0,0
106031122,Raymond Terrace,0.03,3
106031123,Seaham - Woodville,64.52,159
106031124,Tea Gardens - Hawks Nest,2.37,6
106031125,Williamtown - Medowie - Karuah,58.27,39
106041126,Muswellbrook,34.88,78
106041127,Muswellbrook Surrounds,89.34,468
106041128,Scone,26.89,155
106041129,Scone Surrounds,480.62,1289
107011131,Dapto - Avondale,4.16,23
107011132,Horsley - Kembla Grange,0.27,7
107011133,Port Kembla Industrial,0,0
107011134,Unanderra - Mount Kembla,0.03,2
107011545,Berkeley - Lake Heights - Cringila,0,1
107011546,Port Kembla - Warrawong,0,0
107011547,Windang - Primbee,0,0
107021135,Illawarra Catchment Reserve,0,0
107031136,Albion Park - Macquarie Pass,22.56,41
107031137,Albion Park Rail,2.52,3
107031138,Kiama,0.94,10
107031139,Kiama Downs - Minnamurra,0,0
107031140,Kiama Hinterland - Gerringong,80.19,136
107031141,Shellharbour - Flinders,4.78,18
107031142,Shellharbour - Oak Flats,0,0
107031143,Warilla,0,0
107041144,Balgownie - Fairy Meadow,0,0
107041145,Corrimal - Tarrawanna - Bellambi,0,0
107041146,Figtree - Keiraville,0,0
107041147,Helensburgh,4.82,12
107041148,Thirroul - Austinmer - Coalcliff,0,0
107041150,Woonona - Bulli - Russell Vale,0,0
107041548,Wollongong - East,0,0
107041549,Wollongong - West,0,0
108011151,Bulahdelah - Stroud,207.53,278
108011152,Forster,0,0
108011153,Forster-Tuncurry Surrounds,4.28,53
108011154,Tuncurry,0,0
108021155,Kempsey,43.69,125
108021156,Kempsey Surrounds,193,600
108021157,Macksville - Scotts Head,5.17,35
108021158,Nambucca Heads,5.4,4
108021159,Nambucca Heads Surrounds,161.84,479
108021160,South West Rocks,0,0
108031161,Lord Howe Island,0,0
108041162,Laurieton - Bonny Hills,23.7,54
108041164,Port Macquarie - West,0.18,13
108041165,Port Macquarie Surrounds,155.6,590
108041166,Wauchope,12.22,77
108041619,Port Macquarie - East,0,0
108041620,Port Macquarie - South,0,2
108051167,Gloucester,132.01,419
108051168,Old Bar - Manning Point - Red Head,44.82,50
108051169,Taree,39.05,77
108051170,Taree Surrounds,288.91,674
108051171,Wingham,19.51,26
109011172,Albury - East,2.98,19
109011173,Albury - North,0,0
109011174,Albury - South,3.07,14
109011175,Albury Surrounds,990.91,3228
109011176,Lavington,0,0
109021177,Hay,314.85,356
109021178,Wentworth - Buronga,505.9,617
109021179,Wentworth-Balranald Region,1264.28,1247
109031180,Corowa,303.23,84
109031181,Corowa Surrounds,1515.41,1861
109031182,Deniliquin,106.33,357
109031183,Deniliquin Surrounds,2147.6,3633
109031184,Moama,34.74,223
109031185,Tocumwal - Finley - Jerilderie,1343.77,2058
110011186,Armidale,40.37,178
110011187,Armidale Surrounds - North,431.96,1029
110011188,Armidale Surrounds - South,159.61,607
110011189,Walcha,430.68,933
110021190,Glen Innes,368.44,1069
110021191,Inverell,35.3,133
110021192,Inverell Surrounds - East,411.99,1383
110021193,Inverell Surrounds - West,507.05,1973
110021194,Tenterfield,253.46,989
110031195,Moree,172.91,160
